timestamp,date,modeName,name,statusSeverity,statusSeverityDescription,reason,disruptionDescription,closureText
2026-07-31T16:04:42Z,2026-07-31,tube,Waterloo & City,10,Good Service,,,
2026-07-31T16:04:42Z,2026-07-31,overground,Weaver,10,Good Service,,,
2026-07-31T16:04:42Z,2026-07-31,overground,Windrush,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Bakerloo,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Central,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Circle,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,District,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,dlr,DLR,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,elizabeth-line,Elizabeth line,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Hammersmith & City,9,Minor Delays,Hammersmith and City Line: Minor delays due to an earlier fire alert at West Hampstead ,Hammersmith and City Line: Minor delays due to an earlier fire alert at West Hampstead ,minorDelays
2026-07-31T17:48:14Z,2026-07-31,tube,Jubilee,6,Severe Delays,"Jubilee Line: Severe delays due to an earlier fire alert at West Hampstead. Tickets are being accepted on London Buses, Mildmay line, DLR, Elizabeth line, C2C, Southeastern and Thameslink services via any reasonable route. ","Jubilee Line: Severe delays due to an earlier fire alert at West Hampstead. Tickets are being accepted on London Buses, Mildmay line, DLR, Elizabeth line, C2C, Southeastern and Thameslink services via any reasonable route. ",severeDelays
2026-07-31T17:48:14Z,2026-07-31,overground,Liberty,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,overground,Lioness,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Metropolitan,9,Minor Delays,Metropolitan Line: Minor delays due to an earlier fire alert at West Hampstead. ,Metropolitan Line: Minor delays due to an earlier fire alert at West Hampstead. ,minorDelays
2026-07-31T17:48:14Z,2026-07-31,overground,Mildmay,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Northern,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Piccadilly,5,Part Closure,"PICCADILLY LINE: Thursday 30 and Friday 31 July, no service between Cockfosters and Uxbridge. Trains continue to operate between Acton Town and Heathrow (all terminals), Use METROPOLITAN LINE services between Rayners Lane and Uxbridge. Replacement buses operate.","PICCADILLY LINE: Thursday 30 and Friday 31 July, no service between Cockfosters and Uxbridge. Trains continue to operate between Acton Town and Heathrow (all terminals), Use METROPOLITAN LINE services between Rayners Lane and Uxbridge. Replacement buses operate.",partClosure
2026-07-31T17:48:14Z,2026-07-31,overground,Suffragette,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,tube,Victoria,6,Severe Delays,"Victoria Line: Severe delays due to an earlier customer incident. Tickets are being accepted on London Buses, London Overground, Great Northern, Thameslink, Greater Anglia, South Western Railway and Southeastern services. ","Victoria Line: Severe delays due to an earlier customer incident. Tickets are being accepted on London Buses, London Overground, Great Northern, Thameslink, Greater Anglia, South Western Railway and Southeastern services. ",severeDelays
2026-07-31T17:48:14Z,2026-07-31,tube,Waterloo & City,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,overground,Weaver,10,Good Service,,,
2026-07-31T17:48:14Z,2026-07-31,overground,Windrush,10,Good Service,,,
