Date,Country,Borough,Sub-region,Level 1,Level 2,Sales £m,GVA £m,Export Total £m,Total Imports £m,Number of companies,Total Number of Employees,Forecast Sales 2024/25,Forecast Sales 2025/26,Forecast Sales 2026/27,Forecast Sales 2027/28,Forecast Sales 2028/29
2023/24,UK,Barking and Dagenham,Local London,Environmental,Noise & Vibration Control,9.324754,3.289854,0.5574729,0.5493857,8.924611,50.91315,9.79849,10.33235,10.93607,11.6209,12.40077
2023/24,UK,Barking and Dagenham,Local London,Environmental,Recovery and Recycling,181.9386,58.70861,10.09683,9.261973,72.98821,1217.884,191.3877,202.0334,214.0632,227.7167,243.2662
2023/24,UK,Barking and Dagenham,Local London,Environmental,Waste Management,138.1271,43.57584,7.065543,5.643264,53.97584,1055.246,143.9554,150.4622,157.7435,165.9065,175.1046
2023/24,UK,Barking and Dagenham,Local London,Environmental,Water & Waste Water Treatment,202.6122,61.25933,10.17307,9.50319,80.47599,1576.173,207.9865,213.899,220.4131,227.6015,235.5544
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Additional Energy Sources,20.75228,6.745195,1.147773,0.9545951,8.464276,160.0709,22.07451,23.58143,25.30246,27.27928,29.56185
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Alternative Fuel Vehicle,21.64497,7.285872,1.446142,1.123658,8.404713,138.8605,23.34132,25.29835,27.57218,30.22704,33.3495
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Alternative Fuels,44.05524,16.29192,2.957347,2.779093,20.88693,405.9679,47.64293,51.79705,56.63171,62.2914,68.9546
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Building Technologies,410.7041,151.2765,28.29869,24.32272,173.8567,3004.998,447.9741,491.5098,542.6446,603.0842,675.1872
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Carbon Capture & Storage,7.80367,2.671966,0.4025503,0.382407,3.589153,55.48081,8.200171,8.646282,9.150205,9.720944,10.3709
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Carbon Finance,19.4763,7.610057,1.669582,1.209643,6.310823,133.8529,21.92564,24.87325,28.46491,32.8791,38.32927
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Energy Management,5.182112,1.676214,0.2752414,0.2192034,2.404825,31.25946,5.472141,5.799453,6.170941,6.594334,7.078863
2023/24,UK,Barking and Dagenham,Local London,Low Carbon,Nuclear Power,48.55807,16.76442,2.635741,2.23719,19.17684,514.1136,51.16355,54.09979,57.42701,61.21046,65.53414
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Biomass,246.6521,90.13032,17.07592,15.4621,92.77298,1764.596,264.9484,285.9494,310.1341,338.2957,371.2811
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Geothermal,590.4911,220.0385,40.81976,31.17282,208.8568,4167.288,638.4176,693.9102,758.491,834.139,923.4078
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Hydro,18.88017,6.529002,1.032087,0.8735569,11.23907,143.0506,19.92332,21.10362,22.44097,23.96117,25.69985
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Photovoltaic,413.7209,153.8998,26.40945,22.82326,121.7286,2793.065,453.1885,499.4495,554.1782,619.2045,697.1148
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Renewable Energy General Consultancy,12.86648,4.207105,0.6479747,0.6391072,3.711668,91.78272,13.40375,14.00298,14.67583,15.43024,16.27995
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Wave & Tidal,2.061408,0.8129656,0.1368784,0.1209687,1.276034,11.58316,2.236838,2.440446,2.678138,2.957519,3.287945
2023/24,UK,Barking and Dagenham,Local London,Renewable Energy,Wind,693.0888,263.1549,50.70985,41.47707,242.6707,4110.854,769.3,859.7636,967.8573,1098.228,1256.798
2023/24,UK,Barnet,West London Alliance,Environmental,Air Pollution,7.58178,2.298702,0.379675,0.3740862,2.056725,59.07782,7.862129,8.173366,8.519868,8.906514,9.339037
2023/24,UK,Barnet,West London Alliance,Environmental,Contaminated Land,5.884406,1.929241,0.3201952,0.2722473,5.161269,46.43803,6.159047,6.467114,6.813355,7.203749,7.646017
2023/24,UK,Barnet,West London Alliance,Environmental,Environmental Consultancy,8.706129,2.846207,0.4747366,0.4374654,6.854905,60.55398,9.152175,9.653913,10.22048,10.86215,11.59287
2023/24,UK,Barnet,West London Alliance,Environmental,Environmental Monitoring,1.282433,0.4202661,0.06950516,0.05490053,0.6395731,8.203951,1.346157,1.41782,1.498603,1.58999,1.693808
2023/24,UK,Barnet,West London Alliance,Environmental,Marine Pollution Control,1.101788,0.3678782,0.05961971,0.05187734,0.4882504,7.091034,1.161569,1.229039,1.305529,1.392517,1.491937
2023/24,UK,Barnet,West London Alliance,Environmental,Noise & Vibration Control,3.657557,1.330724,0.2234303,0.1958731,3.723493,21.34201,3.846435,4.059264,4.299573,4.571834,4.881864
2023/24,UK,Barnet,West London Alliance,Environmental,Recovery and Recycling,34.3486,11.3418,1.918771,1.857217,14.86679,241.5947,36.08773,38.0458,40.25746,42.76128,45.60746
2023/24,UK,Barnet,West London Alliance,Environmental,Waste Management,106.5961,33.1273,5.319419,5.260573,39.5627,754.7333,111.1523,116.2398,121.9382,128.335,135.5382
2023/24,UK,Barnet,West London Alliance,Environmental,Water & Waste Water Treatment,52.98731,15.78497,2.693425,2.359478,23.50646,453.0704,54.43705,56.03306,57.79024,59.7319,61.88246
2023/24,UK,Barnet,West London Alliance,Low Carbon,Additional Energy Sources,17.31829,5.56783,0.938946,0.88404,7.141498,134.1682,18.38746,19.60362,20.99152,22.5867,24.42646
