borough,lines_reported,disrupted_lines,average_severity,total_gva_m,disruption_rate_pct,severity_risk,rate_risk,composite_risk_score,risk_band,estimated_gva_at_risk_m
Brent,1,0,20.0,17411.3,0.0,-1.1111111111111112,0.0,-0.667,,-232.27
Camden,1,0,20.0,68061.2,0.0,-1.1111111111111112,0.0,-0.667,,-907.94
Hackney,1,0,20.0,16245.2,0.0,-1.1111111111111112,0.0,-0.667,,-216.71
Havering,1,0,20.0,11423.1,0.0,-1.1111111111111112,0.0,-0.667,,-152.38
Islington,1,0,20.0,37251.6,0.0,-1.1111111111111112,0.0,-0.667,,-496.94
Lambeth,1,0,20.0,24637.5,0.0,-1.1111111111111112,0.0,-0.667,,-328.66
Tower Hamlets,2,0,20.0,67537.4,0.0,-1.1111111111111112,0.0,-0.667,,-900.95
Waltham Forest,1,0,20.0,8795.4,0.0,-1.1111111111111112,0.0,-0.667,,-117.33
Westminster,10,0,20.0,,0.0,-1.1111111111111112,0.0,-0.667,,
