Timestamp,Mode,Line Name,Status Code,Status Description,Reason
2026-07-30 21:55:03,tube,Central,9,Minor Delays,Central Line: Minor delays between North Acton and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due to train cancellations. GOOD SERVICE on the rest of the line. 
2026-07-30 21:55:03,tube,Jubilee,9,Minor Delays,Jubilee Line: Minor delays due to train cancellations. 
2026-07-30 21:55:03,tube,Piccadilly,5,Part Closure,"PICCADILLY LINE: Thursday 30 and Friday 31 July, no service between Cockfosters and Uxbridge. Trains continue to operate between Acton Town and Heathrow (all terminals), Use METROPOLITAN LINE services between Rayners Lane and Uxbridge. Replacement buses operate."
