name,modeName,date,statusSeverity,statusSeverityDescription,reason,disruptionDescription,closureText,source,borough,severity_label,is_disrupted,disruption_cause,affected_section
Bakerloo,tube,2026-04-22,9,Minor Delays,Bakerloo Line: Minor delays between Queen's Park and Harrow & Wealdstone due to an earlier faulty train at Paddington. GOOD SERVICE on the rest of the line. ,,,service_disruption,Westminster,Minor Delays,True,Faulty Train,Queen's Park and Harrow & Wealdstone
Circle,tube,2026-04-22,2,Suspended,Circle Line: No service while we respond to a fire alert at Paddington. Tickets are being accepted on London buses.  ,,,service_disruption,Westminster,Suspended,True,Fire Alert,
District,tube,2026-04-22,3,Part Suspended,District Line: No service between Turnham Green and Richmond while we fix a signal failure at Gunnersbury. NO SERVICE between High Street Kensington and Edgware Road while we respond to a fire alert at Paddington. GOOD SERVICE on the rest of the line. Tickets are being accepted on London Buses and South Western Railway.  ,,,service_disruption,Westminster,Part Suspended,True,Signal Failure,Turnham Green and Richmond
Jubilee,tube,2026-04-22,6,Severe Delays,"Jubilee Line: Severe delays due to an earlier fire alert at West Ham. Tickets are being accepted on London Buses, DLR, Elizabeth Line, Mildmay line and C2C.  ",,,service_disruption,Westminster,Severe Delays,True,Fire Alert,
Metropolitan,tube,2026-04-22,6,Severe Delays,Metropolitan Line: Severe delays between Harrow-on-the-Hill and Aldgate while we respond to a fire alert at Paddington. GOOD SERVICE on the rest of the line. Tickets are being accepted on London Buses.  ,,,service_disruption,Westminster,Severe Delays,True,Fire Alert,Harrow-on-the-Hill and Aldgate
Mildmay,overground,2026-04-22,3,Part Suspended,Mildmay Line: No service between Richmond and Willesden Junction while we fix a signal failure at Gunnersbury. GOOD SERVICE on the rest of the line. Tickets are being accepted on London Buses.  ,,,service_disruption,Hackney,Part Suspended,True,Signal Failure,Richmond and Willesden Junction
Northern,tube,2026-04-22,6,Severe Delays,"Northern Line: Severe delays due to an earlier customer incident at Hampstead. Tickets are being accepted on London Buses, London Trams, Southeastern, South Western Railway and Thameslink. ",,,service_disruption,Camden,Severe Delays,True,Customer Incident,
